Style #,Customer,Order #,Roll #,Vendor Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Processor,Received
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967903,6967903,21.0,49.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967905,6967905,22.0,49.8,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967907,6967907,22.0,49.5,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971604,6971604,40.0,57.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,906971616,6971616,30.0,41.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971618,6971618,49.0,70.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,906971615,6971615,31.0,42.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,906971617,6971617,19.0,26.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971614,6971614,41.0,58.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971613,6971613,37.0,52.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971612,6971612,42.0,58.9,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971611,6971611,41.0,57.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971610,6971610,40.0,56.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971609,6971609,41.8,60.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971603,6971603,26.8,38.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971606,6971606,40.0,56.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971607,6971607,42.0,58.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971602,6971602,41.0,59.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971605,6971605,40.0,57.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971608,6971608,41.0,57.5,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69716,6971601,6971601,41.0,60.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970117,6970117,38.0,53.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970111,6970111,42.0,58.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970114,6970114,42.0,57.6,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970112,6970112,42.0,58.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970108,6970108,42.6,59.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970115,6970115,42.0,57.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970107,6970107,42.0,58.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970110,6970110,42.0,59.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970113,6970113,42.0,57.8,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970106,6970106,42.0,58.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970116,6970116,39.6,53.7,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970109,6970109,42.0,59.6,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970105,6970105,42.0,59.3,0,0,Altus - Plant 3,2025-08-30 12:15:07
