Style,Yarn,Percentage,This Week,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Later,Total
C1B4746A/1,18233,15.0,,,,,,,,,,,0.0
C1B4746A/1,18452,28.8,,,,,,,,,,,0.0
C1B4746A/1,18614,15.6,,,,,,,,,,,0.0
C1B4746A/1,18794,40.6,,,,,,,,,,,0.0
C1B4771A/1,14148,13.0,0.481,,,,,,,,,,0.481
C1B4771A/1,18233,11.8,0.4366,,,,,,,,,,0.4366
C1B4771A/1,18763,28.8,1.0656,,,,,,,,,,1.0656
C1B4771A/1,18929,0.5,0.0185,,,,,,,,,,0.0185
C1B4771A/1,19033,45.9,1.6983,,,,,,,,,,1.6983
C1B4798A/1,18372,60.31,21.7116,,,,,,,,,,21.7116
C1B4798A/1,18373,30.82,11.0952,,,,,,,,,,11.0952
C1B4798A/1,18865,8.87,3.1932,,,,,,,,,,3.1932
C2B3237/3B,18086,17.3,302.75,,,,,,,,,,302.75
C2B3237/3B,18229,6.4,112.0,,,,,,,,,,112.0
C2B3237/3B,18414,48.0,840.0,,,,,,,,,,840.0
C2B3237/3B,18646,27.7,484.75,,,,,,,,,,484.75
C2B3237/3B,18929,0.6,10.5,,,,,,,,,,10.5
CEE2746/1L,12526,12.1,,,,,220.583314304069,21.416685695931,,,,,242.0
CEE2746/1L,18233,6.3,,,,,114.84916364592,11.1508363540798,,,,,126.0
CEE2746/1L,18375,28.0,,,,,510.440727315201,49.5592726847988,,,,,560.0
CEE2746/1L,18646,6.3,,,,,114.84916364592,11.1508363540798,,,,,126.0
CEE2746/1L,18737,10.2,,,,,185.946264950538,18.0537350494625,,,,,204.0
CEE2746/1L,18763,24.2,,,,,441.166628608138,42.8333713918619,,,,,484.0
CEE2746/1L,18904,12.3,,,,,224.229319499178,21.7706805008224,,,,,246.0
CEE2746/1L,18929,0.6,,,,,10.9380155853257,1.06198441467426,,,,,12.0
CEE2748/1D,12526,12.1,,,,,258.084946040028,405.562058062902,32.10299589707,,,,695.75
CEE2748/1D,18233,6.3,,,,,134.374806615883,211.160410396387,16.7147829877307,,,,362.25
CEE2748/1D,18375,28.0,,,,,597.221362737256,938.49071287283,74.2879243899141,,,,1610.0
CEE2748/1D,18646,6.3,,,,,134.374806615883,211.160410396387,16.7147829877307,,,,362.25
CEE2748/1D,18737,10.2,,,,,217.559210711429,341.878759689388,27.0620295991831,,,,586.5
CEE2748/1D,18763,24.2,,,,,516.169892080057,811.124116125803,64.20599179414,,,,1391.5
CEE2748/1D,18904,12.3,,,,,262.350812916723,412.26556315485,32.6336239284266,,,,707.25
CEE2748/1D,18929,0.6,,,,,12.797600630084,20.1105152758464,1.59188409406959,,,,34.5
CEE2750/1L,12526,12.1,,,,,,,60.5,,,,60.5
CEE2750/1L,18233,6.3,,,,,,,31.5,,,,31.5
CEE2750/1L,18375,28.0,,,,,,,140.0,,,,140.0
CEE2750/1L,18646,6.3,,,,,,,31.5,,,,31.5
CEE2750/1L,18737,10.2,,,,,,,51.0,,,,51.0
CEE2750/1L,18763,24.2,,,,,,,121.0,,,,121.0
CEE2750/1L,18904,12.3,,,,,,,61.5,,,,61.5
CEE2750/1L,18929,0.6,,,,,,,3.0,,,,3.0
CEE2837/1CL,12526,11.7,234.0,,,,,,,,,,234.0
CEE2837/1CL,18233,6.2,124.0,,,,,,,,,,124.0
CEE2837/1CL,18375,30.1,602.0,,,,,,,,,,602.0
CEE2837/1CL,18646,6.2,124.0,,,,,,,,,,124.0
CEE2837/1CL,18737,9.9,198.0,,,,,,,,,,198.0
CEE2837/1CL,18763,23.4,468.0,,,,,,,,,,468.0
CEE2837/1CL,18904,11.9,238.0,,,,,,,,,,238.0
CEE2837/1CL,18929,0.6,12.0,,,,,,,,,,12.0
CEE2838/1IN ,12526,12.1,319.682977967358,390.723639737882,390.723639737882,390.255242556879,,,,,,,1491.3855
