Yarn_ID,BOM_Count,Affected_Styles,Style_List,Total_Percentage,Avg_Percentage
18712.0,25,25,"CEE3544/1, C1B3586/1, C1B4214A/1, C5T4353A/TT1, CEE3552/1",2.83,0.11320000000000001
18690.0,25,25,"C1B4095A/1, C1B4285A/1REPM, CEE4088A/1T, CEE4677A/1, CT2890-42/2",6.97,0.2788
18086.0,25,25,"C1B3171/1, C2B3173/2, C2B3237/3, CT2876/1L, CT2962/2",6.159999999999999,0.24639999999999998
18143.0,24,24,"C1B3929/1, C1B4461A/1, C1B4738A/1, C1B4781A/1, C2B4459A/1",3.7300000000000004,0.15541666666666668
12457.0,24,15,"C0336F/0, BK 8332/1, BK 8339/0, BK 8345/0, BK 8348/0",7.889999999999999,0.32874999999999993
18939.0,24,22,"CEE4397A/2, CEE4492A/1, CEE4512A/1, CEE4517A/1, CEE4536A/1",6.140000000000001,0.25583333333333336
12078.0,24,21,"CEE3108/1, CEE3274/1, CT0826/10, CT1951/4, CT2581/1",5.99,0.24958333333333335
18180.0,24,13,"BK 5517/C, BK 8120/4091, BK 8120/4351, BK 8120/4661, BK 8120/4801",5.64,0.235
18469.0,24,24,"BK 4238/0, BK 4238/STD, C0239F/0, CF1027/1, CSP3256/1",8.059999999999999,0.33583333333333326
18868.0,24,12,"C1B4125A/1BL, C1B4264A/1, C1B4125A/1C, C1B4125A/1D, C1B4125A/1N",4.44,0.18500000000000003
6650.0,24,21,"BK 5322/3813, BK 5323/A, BK 6341/F2AB, BK 8288/0, BK 5323/C",7.0,0.2916666666666667
13794.0,24,18,"CF5141/0, CF5141/1, CF5351/0, CF5377/0, CF5446/0",9.629999999999999,0.40124999999999994
12997.0,24,24,"2140390/BC, BK 8417/0, CT2513/3C, CT2513/3M, 2140370/0",2.2199999999999998,0.09249999999999999
10402.0,23,17,"BK 8350/0, BK 8353/0, CF5087/1, CF5186/0, CF5190/0",10.9,0.4739130434782609
18148.0,23,23,"CT2398/2D, CT2399/1, CT2467/1, CT2583/1, CT2595/2",3.3200000000000003,0.14434782608695654
18272.0,23,22,"CMR4067/1, CT2463/1, CT2463/2, CT2468/1, CT2865/1",4.210000000000001,0.1830434782608696
18466.0,23,16,"C1B4507/1, CEE4432A/1, CEE4557A/1, CF5176/0, CF5177/0",4.6000000000000005,0.2
18604.0,23,21,"C1B3468/1, C1B3469/1, CEE3270/2, CEE3270/3, CEE3303/1",5.469999999999999,0.2378260869565217
13473.0,23,21,"CF1022/1, CF1034/0, CF1034/1, CT2389/0, CT2389/1",5.68,0.24695652173913044
18319.0,23,21,"C1B3208/2, CT2426/1, CT2449/1, CT2889/1, CT2939/1",8.159999999999998,0.3547826086956521
18628.0,23,23,"C1B3242/3, C1B3308/1, C1B3410/1, C1B3418/1, C1B3428/1",2.87,0.12478260869565218
18411.0,23,14,"BK 8187/10011, BK 8187/12241, BK 8187/15321, BK 8187/27821, BK 8187/30411",8.69,0.3778260869565217
18651.0,23,23,"C1B3318/1, C2B3483/1A, CEE3422/2, CEE4178A/1, CEE4253A/1",4.66,0.20260869565217393
18672.0,22,12,"AM0034/5, AM0034/5H, AM0034/BKT, AM0034/T, AM0034/Z",9.160000000000004,0.41636363636363655
13494.0,22,22,"BK 8280/1, CF1088/0, CF1089/0, CF2005/0, CF5134/1",12.62,0.5736363636363636
18407.0,22,22,"CT2576/1M, C1B2976/4, C1B3233/1, CT2725/1, CT2725/2",1.9100000000000004,0.08681818181818184
18638.0,22,11,"AM0018/0, AM0018/LC, AM0018/T, AM0018/TDC, AM0018/TT",9.399999999999999,0.4272727272727272
18620.0,22,16,"C1B3195/1A, CT2977/1, CT2977/1T, CT3146/1P, C1B3195/1D",2.49,0.11318181818181819
18150.0,22,15,"CT1412/01, CT2272/1P, CT2364/1, CT2531/1, CT2580/1",4.71,0.21409090909090908
18526.0,22,22,"BK 8340/0, BK 8351/0, BK 8351/1, BK 8415/3, BK 8415/3L",13.41,0.6095454545454545
18537.0,22,21,"CF1076/0, CF1099/0, CF5139/0, CF5193/0, CF1077/0",2.85,0.12954545454545455
18847.0,22,20,"CEE4150A/1, CEE4397A/1, CEE4442A/1, CEE4462A/1, CEE4397A/2",2.02,0.09181818181818181
13452.0,22,22,"5050-4/PSSBT, 5050-3/PSUDO, 5035/48, 5050/48, 5050/48NAT",2.31,0.105
18598.0,21,21,"C2B3132/1, CEE3154/3, CEE3192/1D, CEE3828/1, C1B3194/1B",3.27,0.15571428571428572
14061.0,21,21,"16846/01A, BK 8304/0, 16847/01A, 16848/01A, ATG-66BLK/0",0.4000000000000001,0.019047619047619053
11409.0,21,21,"CT2368/0, CT2879/1, CT2887/3, BK 8101/0, BK 8181/0",0.8700000000000003,0.04142857142857145
18364.0,21,20,"CT22121/1, CT2432/0, CT22104/1C, CT0822/1U, CT1519/1C",4.1,0.1952380952380952
