Style,KO,Yarn,Percentage,This Week,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Later,Total
C1B4313A/3RECU,K2508083,12526,17.8,414.2,911.3,911.3,911.3,911.3,50.2,,,,,"4,109.8"
C1B4313A/3RECU,K2508083,18594,26,605.1,"1,331.2","1,331.2","1,331.2","1,331.2",73.3,,,,,"6,003.1"
C1B4313A/3RECU,K2508083,18872,9,209.5,460.8,460.8,460.8,460.8,25.4,,,,,"2,078.0"
C1B4313A/3RECU,K2508083,18927,30.1,700.5,"1,541.1","1,541.1","1,541.1","1,541.1",84.9,,,,,"6,949.8"
C1B4313A/3RECU,K2508083,18929,0.6,14.0,30.7,30.7,30.7,30.7,1.7,,,,,138.5
C1B4313A/3RECU,K2508083,18961,11.8,274.6,604.2,604.2,604.2,604.2,33.3,,,,,"2,724.5"
C1B4313A/3RECU,K2508083,19003,4.7,109.4,240.6,240.6,240.6,240.6,13.3,,,,,"1,085.2"
C1B4338A/1KD,K2508041,18673,13.5,236.3,,,,,,,,,,236.3
C1B4338A/1KD,K2508041,18763,33.2,581.0,,,,,,,,,,581.0
C1B4338A/1KD,K2508041,18929,0.6,10.5,,,,,,,,,,10.5
C1B4338A/1KD,K2508041,18973,47.4,829.5,,,,,,,,,,829.5
C1B4338A/1KD,K2508041,19003,5.3,92.8,,,,,,,,,,92.8
C1B4374A/1H,K2508073,12526,8.1,165.4,57.4,,,,,,,,,222.8
C1B4374A/1H,K2508073,18233,11.6,236.8,82.2,,,,,,,,,319.0
C1B4374A/1H,K2508073,18673,13.2,269.5,93.5,,,,,,,,,363.0
C1B4374A/1H,K2508073,18763,16.2,330.7,114.8,,,,,,,,,445.5
C1B4374A/1H,K2508073,18929,0.7,14.3,5.0,,,,,,,,,19.3
C1B4374A/1H,K2508073,18973,50.2,"1,024.8",355.7,,,,,,,,,"1,380.5"
C1B4546A/2D,K2508064,18233,12.2,122.0,,,,,,,,,,122.0
C1B4546A/2D,K2508064,18312,26.2,262.0,,,,,,,,,,262.0
C1B4546A/2D,K2508064,18414,55.5,555.0,,,,,,,,,,555.0
C1B4546A/2D,K2508064,18865,5.5,55.0,,,,,,,,,,55.0
C1B4546A/2D,K2508064,18929,0.6,6.0,,,,,,,,,,6.0
C1B4571A/1N,K2507045,18646,7.4,126.8,279.0,279.0,253.2,,,,,,,937.9
C1B4571A/1N,K2507045,18712,8,137.1,301.6,301.6,273.7,,,,,,,"1,014.0"
C1B4571A/1N,K2507045,18763,35.3,604.9,"1,330.7","1,330.7","1,207.8",,,,,,,"4,474.1"
C1B4571A/1N,K2507045,18929,0.7,12.0,26.4,26.4,24.0,,,,,,,88.7
C1B4571A/1N,K2507045,18954,6.9,118.2,260.1,260.1,236.1,,,,,,,874.5
C1B4571A/1N,K2507045,18993,3.9,66.8,147.0,147.0,133.4,,,,,,,494.3
C1B4571A/1N,K2507045,19046,37.8,647.7,"1,425.0","1,425.0","1,293.4",,,,,,,"4,791.0"
C1B4571A/1N,K2507046,18646,7.4,126.8,279.0,279.0,192.9,,,,,,,877.6
C1B4571A/1N,K2507046,18712,8,137.1,301.6,301.6,208.5,,,,,,,948.8
C1B4571A/1N,K2507046,18763,35.3,604.9,"1,330.7","1,330.7",920.2,,,,,,,"4,186.5"
C1B4571A/1N,K2507046,18929,0.7,12.0,26.4,26.4,18.2,,,,,,,83.0
C1B4571A/1N,K2507046,18954,6.9,118.2,260.1,260.1,179.9,,,,,,,818.3
C1B4571A/1N,K2507046,18993,3.9,66.8,147.0,147.0,101.7,,,,,,,462.5
C1B4571A/1N,K2507046,19046,37.8,647.7,"1,425.0","1,425.0",985.4,,,,,,,"4,483.0"
C1B4571A/1N,K2507047,18646,7.4,126.8,279.0,279.0,150.8,,,,,,,835.5
C1B4571A/1N,K2507047,18712,8,137.1,301.6,301.6,163.0,,,,,,,903.3
C1B4571A/1N,K2507047,18763,35.3,604.9,"1,330.7","1,330.7",719.4,,,,,,,"3,985.7"
C1B4571A/1N,K2507047,18929,0.7,12.0,26.4,26.4,14.3,,,,,,,79.0
C1B4571A/1N,K2507047,18954,6.9,118.2,260.1,260.1,140.6,,,,,,,779.1
C1B4571A/1N,K2507047,18993,3.9,66.8,147.0,147.0,79.5,,,,,,,440.3
C1B4571A/1N,K2507047,19046,37.8,647.7,"1,425.0","1,425.0",770.3,,,,,,,"4,268.0"
C1B4571A/1N,K2507048,18646,7.4,126.8,279.0,279.0,279.0,225.9,,,,,,"1,189.6"
C1B4571A/1N,K2507048,18712,8,137.1,301.6,301.6,301.6,244.2,,,,,,"1,286.0"
C1B4571A/1N,K2507048,18763,35.3,604.9,"1,330.7","1,330.7","1,330.7","1,077.6",,,,,,"5,674.7"
C1B4571A/1N,K2507048,18929,0.7,12.0,26.4,26.4,26.4,21.4,,,,,,112.5
C1B4571A/1N,K2507048,18954,6.9,118.2,260.1,260.1,260.1,210.6,,,,,,"1,109.2"
C1B4571A/1N,K2507048,18993,3.9,66.8,147.0,147.0,147.0,119.1,,,,,,626.9
C1B4571A/1N,K2507048,19046,37.8,647.7,"1,425.0","1,425.0","1,425.0","1,153.9",,,,,,"6,076.5"
C1B4584A/1E,K2508067,18358,10.9,169.3,156.4,,,,,,,,,325.7
C1B4584A/1E,K2508067,18414,56.5,877.5,810.7,,,,,,,,,"1,688.2"
C1B4584A/1E,K2508067,18929,0.7,10.9,10.0,,,,,,,,,20.9
C1B4584A/1E,K2508067,19003,5.3,82.3,76.0,,,,,,,,,158.4
C1B4584A/1E,K2508067,19030,26.6,413.1,381.7,,,,,,,,,794.8
C1B4612A/1,K2507071,12526,8.1,,160.3,,,,,,,,,160.3
C1B4612A/1,K2507071,18233,22,,435.4,,,,,,,,,435.4
C1B4612A/1,K2507071,18452,46.2,,914.3,,,,,,,,,914.3
C1B4612A/1,K2507071,18673,23.7,,469.0,,,,,,,,,469.0
C1B4613A/1,K2507072,12526,15.9,203.5,113.3,,,,,,,,,316.9
C1B4613A/1,K2507072,18233,19.7,252.2,140.4,,,,,,,,,392.6
C1B4613A/1,K2507072,18372,22.4,286.8,159.7,,,,,,,,,446.4
C1B4613A/1,K2507072,18452,42,537.7,299.4,,,,,,,,,837.1
C1B4771A/1,K2507104,14148,13,0.5,,,,,,,,,,0.5
C1B4771A/1,K2507104,18233,11.8,0.4,,,,,,,,,,0.4
C1B4771A/1,K2507104,18763,28.8,1.1,,,,,,,,,,1.1
C1B4771A/1,K2507104,18929,0.5,0.0,,,,,,,,,,0.0
C1B4771A/1,K2507104,19033,45.9,1.7,,,,,,,,,,1.7
C1B4798A/1,K2508017,18372,60.31,21.7,,,,,,,,,,21.7
C1B4798A/1,K2508017,18373,30.82,11.1,,,,,,,,,,11.1
C1B4798A/1,K2508017,18865,8.87,3.2,,,,,,,,,,3.2
C2B3237/3B,K2508080,18086,17.3,,302.8,,,,,,,,,302.8
C2B3237/3B,K2508080,18229,6.4,,112.0,,,,,,,,,112.0
C2B3237/3B,K2508080,18414,48,,840.0,,,,,,,,,840.0
C2B3237/3B,K2508080,18646,27.7,,484.8,,,,,,,,,484.8
C2B3237/3B,K2508080,18929,0.6,,10.5,,,,,,,,,10.5
CEE2746/1L,K2508086,12526,12.1,,,,,,220.6,21.4,,,,242.0
CEE2746/1L,K2508086,18233,6.3,,,,,,114.8,11.2,,,,126.0
CEE2746/1L,K2508086,18375,28,,,,,,510.4,49.6,,,,560.0
CEE2746/1L,K2508086,18646,6.3,,,,,,114.8,11.2,,,,126.0
CEE2746/1L,K2508086,18737,10.2,,,,,,185.9,18.1,,,,204.0
CEE2746/1L,K2508086,18763,24.2,,,,,,441.2,42.8,,,,484.0
CEE2746/1L,K2508086,18904,12.3,,,,,,224.2,21.8,,,,246.0
CEE2746/1L,K2508086,18929,0.6,,,,,,10.9,1.1,,,,12.0
CEE2748/1D,K2508087,12526,12.1,,,,,,258.1,405.6,32.1,,,695.8
CEE2748/1D,K2508087,18233,6.3,,,,,,134.4,211.2,16.7,,,362.3
CEE2748/1D,K2508087,18375,28,,,,,,597.2,938.5,74.3,,,"1,610.0"
CEE2748/1D,K2508087,18646,6.3,,,,,,134.4,211.2,16.7,,,362.3
CEE2748/1D,K2508087,18737,10.2,,,,,,217.6,341.9,27.1,,,586.5
CEE2748/1D,K2508087,18763,24.2,,,,,,516.2,811.1,64.2,,,"1,391.5"
CEE2748/1D,K2508087,18904,12.3,,,,,,262.4,412.3,32.6,,,707.3
CEE2748/1D,K2508087,18929,0.6,,,,,,12.8,20.1,1.6,,,34.5
CEE2750/1L,K2508088,12526,12.1,,,,,,,,60.5,,,60.5
CEE2750/1L,K2508088,18233,6.3,,,,,,,,31.5,,,31.5
CEE2750/1L,K2508088,18375,28,,,,,,,,140.0,,,140.0
CEE2750/1L,K2508088,18646,6.3,,,,,,,,31.5,,,31.5
CEE2750/1L,K2508088,18737,10.2,,,,,,,,51.0,,,51.0
CEE2750/1L,K2508088,18763,24.2,,,,,,,,121.0,,,121.0
CEE2750/1L,K2508088,18904,12.3,,,,,,,,61.5,,,61.5
CEE2750/1L,K2508088,18929,0.6,,,,,,,,3.0,,,3.0
