Yarn,Supplier,Description,Color,Monday Inventory,Total Demand,Total Receipt,Balance,Past Due Receipts,,Demand This Week,Receipts This Week,Balance This Week,,Demand Week 36,Receipts Week 36,Balance Week 36,,Demand Week 37,Receipts Week 37,Balance Week 37,,Demand Week 38,Receipts Week 38,Balance Week 38,,Demand Week 39,Receipts Week 39,Balance Week 39,,Demand Week 40,Receipts Week 40,Balance Week 40,,Demand Week 41,Receipts Week 41,Balance Week 41,,Demand Week 42,Receipts Week 42,Balance Week 42,,Demand Week 43,Receipts Week 43,Balance Week 43,,Demand Later,Receipts Later,Balance Later
11409,TOPL,1/20/12 100% Polyester Semi Dull ,Semi Dull,165.0,1.5,0.0,163.5,0.0,,1.5,0.0,163.5,,0.0,0.0,163.5,,0.0,0.0,163.5,,0.0,0.0,163.5,,0.0,0.0,163.5,,0.0,0.0,163.5,,0.0,0.0,163.5,,0.0,0.0,163.5,,0.0,0.0,163.5,,0.0,0.0,163.5
18725,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester Lookout 4015-0178-A ,Lookout,165.2,0.0,0.0,165.2,0.0,,0.0,0.0,165.2,,0.0,0.0,165.2,,0.0,0.0,165.2,,0.0,0.0,165.2,,0.0,0.0,165.2,,0.0,0.0,165.2,,0.0,0.0,165.2,,0.0,0.0,165.2,,0.0,0.0,165.2,,0.0,0.0,165.2
14223,SPUNLAB,30/1 85/15 Modacrylic/Tencel Natural PCG100 RS,Natural,166.9,1.3,0.0,165.6,0.0,,1.3,0.0,165.6,,0.0,0.0,165.6,,0.0,0.0,165.6,,0.0,0.0,165.6,,0.0,0.0,165.6,,0.0,0.0,165.6,,0.0,0.0,165.6,,0.0,0.0,165.6,,0.0,0.0,165.6,,0.0,0.0,165.6
12428,UNIFI,1/100/96 100% Polyester Natural STWSTR ,Natural,221.0,43.6,0.0,177.4,0.0,,43.6,0.0,177.4,,0.0,0.0,177.4,,0.0,0.0,177.4,,0.0,0.0,177.4,,0.0,0.0,177.4,,0.0,0.0,177.4,,0.0,0.0,177.4,,0.0,0.0,177.4,,0.0,0.0,177.4,,0.0,0.0,177.4
13794,SPUNLAB,30/1 55/45 Modacrylic/Karded Cotton Natural PRTXC ,Natural,181.8,0.0,0.0,181.8,0.0,,0.0,0.0,181.8,,0.0,0.0,181.8,,0.0,0.0,181.8,,0.0,0.0,181.8,,0.0,0.0,181.8,,0.0,0.0,181.8,,0.0,0.0,181.8,,0.0,0.0,181.8,,0.0,0.0,181.8,,0.0,0.0,181.8
18992,PARKDALE YARN MILLS,30/1 50/37/13 Polyester/Modal Rayon/Karded Cotton Natural RS,Natural,201.2,0.0,0.0,201.2,0.0,,0.0,0.0,201.2,,0.0,0.0,201.2,,0.0,0.0,201.2,,0.0,0.0,201.2,,0.0,0.0,201.2,,0.0,0.0,201.2,,0.0,0.0,201.2,,0.0,0.0,201.2,,0.0,0.0,201.2,,0.0,0.0,201.2
18358,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester COBALT 01275 ,COBALT,727.0,710.4,0.0,16.6,0.0,,505.0,0.0,222.0,,205.4,0.0,16.6,,0.0,0.0,16.6,,0.0,0.0,16.6,,0.0,0.0,16.6,,0.0,0.0,16.6,,0.0,0.0,16.6,,0.0,0.0,16.6,,0.0,0.0,16.6,,0.0,0.0,16.6
18413,DECA GLOBAL,1/300/72 100% Polyester Natural STR ,Natural,236.0,0.0,"42,000.0","42,236.0","42,000.0",,0.0,0.0,236.0,,0.0,0.0,236.0,,0.0,0.0,236.0,,0.0,0.0,236.0,,0.0,0.0,236.0,,0.0,0.0,236.0,,0.0,0.0,236.0,,0.0,0.0,236.0,,0.0,0.0,236.0,,0.0,0.0,236.0
11427,OMARA TEXTILES,1/145/34 100% Polyester Almond H75 ,Almond,319.0,82.3,0.0,236.7,0.0,,82.3,0.0,236.7,,0.0,0.0,236.7,,0.0,0.0,236.7,,0.0,0.0,236.7,,0.0,0.0,236.7,,0.0,0.0,236.7,,0.0,0.0,236.7,,0.0,0.0,236.7,,0.0,0.0,236.7,,0.0,0.0,236.7
11505,UNIFI,1/2000/408 100% Polyester BLK/BRN SATUR ,BLK/BRN,506.1,259.7,0.0,246.4,0.0,,259.7,0.0,246.4,,0.0,0.0,246.4,,0.0,0.0,246.4,,0.0,0.0,246.4,,0.0,0.0,246.4,,0.0,0.0,246.4,,0.0,0.0,246.4,,0.0,0.0,246.4,,0.0,0.0,246.4,,0.0,0.0,246.4
18733,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester Orange LW TK poly 4015-01725-A ,Orange,650.2,576.0,0.0,74.2,0.0,,346.2,0.0,304.0,,229.8,0.0,74.2,,0.0,0.0,74.2,,0.0,0.0,74.2,,0.0,0.0,74.2,,0.0,0.0,74.2,,0.0,0.0,74.2,,0.0,0.0,74.2,,0.0,0.0,74.2,,0.0,0.0,74.2
13777,NANY,1/40/24 100% Polyester Semi Dull ,Semi Dull,309.0,2.2,0.0,306.8,0.0,,2.2,0.0,306.8,,0.0,0.0,306.8,,0.0,0.0,306.8,,0.0,0.0,306.8,,0.0,0.0,306.8,,0.0,0.0,306.8,,0.0,0.0,306.8,,0.0,0.0,306.8,,0.0,0.0,306.8,,0.0,0.0,306.8
18229,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester LT GREY ,LT GREY,330.5,112.0,0.0,218.5,0.0,,0.0,0.0,330.5,,112.0,0.0,218.5,,0.0,0.0,218.5,,0.0,0.0,218.5,,0.0,0.0,218.5,,0.0,0.0,218.5,,0.0,0.0,218.5,,0.0,0.0,218.5,,0.0,0.0,218.5,,0.0,0.0,218.5
11536,BURLINGTON MANUFACTURING SERVICE,1/150/34 100% Polyester ROBINSEGG 340320 ,ROBINSEGG,348.2,6.9,0.0,341.3,0.0,,6.9,0.0,341.3,,0.0,0.0,341.3,,0.0,0.0,341.3,,0.0,0.0,341.3,,0.0,0.0,341.3,,0.0,0.0,341.3,,0.0,0.0,341.3,,0.0,0.0,341.3,,0.0,0.0,341.3,,0.0,0.0,341.3
18966,Betareks A. S.,1/69 100% Lurex Silver 2X20 silver lurex ,Silver,168.0,416.0,250.0,2.0,0.0,,60.9,250.0,357.1,,95.8,0.0,261.3,,95.8,0.0,165.5,,95.8,0.0,69.7,,67.7,0.0,2.0,,0.0,0.0,2.0,,0.0,0.0,2.0,,0.0,0.0,2.0,,0.0,0.0,2.0,,0.0,0.0,2.0
18832,HICKORY THROWING COMPANY,30/1 60/40 Recycled Polyester/Recycled Cotton Marino OE,Marino,693.0,333.0,0.0,360.0,0.0,,333.0,0.0,360.0,,0.0,0.0,360.0,,0.0,0.0,360.0,,0.0,0.0,360.0,,0.0,0.0,360.0,,0.0,0.0,360.0,,0.0,0.0,360.0,,0.0,0.0,360.0,,0.0,0.0,360.0,,0.0,0.0,360.0
18430,SPUNLAB,30/1 100% Celliant Natural ,Natural,552.0,188.4,0.0,363.6,0.0,,188.4,0.0,363.6,,0.0,0.0,363.6,,0.0,0.0,363.6,,0.0,0.0,363.6,,0.0,0.0,363.6,,0.0,0.0,363.6,,0.0,0.0,363.6,,0.0,0.0,363.6,,0.0,0.0,363.6,,0.0,0.0,363.6
18753,MERIDIAN SPECIALTY YARN GROUP INC,1/150/34 100% Polyester Sandstone 4015-01670 ,Sandstone,583.0,143.0,0.0,440.0,0.0,,143.0,0.0,440.0,,0.0,0.0,440.0,,0.0,0.0,440.0,,0.0,0.0,440.0,,0.0,0.0,440.0,,0.0,0.0,440.0,,0.0,0.0,440.0,,0.0,0.0,440.0,,0.0,0.0,440.0,,0.0,0.0,440.0
