Style #,Customer,Order #,Roll #,Vendor Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Processor,Received
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967409,6967409,21.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967424,6967424,22.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967421,6967421,20.0,49.0,7,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967415,6967415,6.8,16.0,3,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967410,6967410,6.0,16.0,3,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967419,6967419,22.0,54.2,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967411,6967411,21.0,54.0,8,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967416,6967416,21.0,54.0,6,4,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967412,6967412,21.0,54.0,9,1,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967429,6967429,22.0,54.0,8,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967422,6967422,21.0,52.0,5,5,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967417,6967417,21.0,52.0,8,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967413,6967413,21.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967425,6967425,6.7,16.0,3,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967420,6967420,9.5,21.0,4,21,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967414,6967414,21.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967423,6967423,22.0,54.0,9,1,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967418,6967418,21.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967428,6967428,22.0,54.0,7,3,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967427,6967427,22.0,54.0,9,1,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964609,6964609,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964614,6964614,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964602,6964602,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964610,6964610,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964601,6964601,20.0,49.0,8,2,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964606,6964606,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964615,6964615,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964611,6964611,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964605,6964605,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964603,6964603,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964612,6964612,24.0,60.0,9,3,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964607,6964607,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964613,6964613,24.0,60.0,11,1,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964616,6964616,22.0,54.0,11,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964608,6964608,22.0,54.0,11,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964604,6964604,26.0,64.0,13,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955112,6955112,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956904,6956904,215.0,68.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956907,6956907,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955101,6955101,161.0,51.0,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955103,6955103,163.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963907,6963907,172.0,54.0,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69640,006964003,6964003,151.0,48.0,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69640,006964001,6964001,167.0,53.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963901,6963901,172.0,54.0,0,0,Altus - Plant 3,8/28/2025
